,Crash Type,Collision Type,Crash Severity,Intersection Type,Crash ID,Crash Year
207513,C,5,5.0, ,1593856,2014.0
207518,8,9,5.0,3,1593860,2014.0
207521,E,3,5.0,1,1593862,2014.0
207526,8,9,5.0,3,1593865,2014.0
207529,E,3,4.0,5,1593873,2014.0
207534,E,3,4.0, ,1593876,2014.0
207541,E,3,5.0, ,1593877,2014.0
207546,C,5,5.0, ,1593878,2014.0
207551,C,5,5.0, ,1593880,2014.0
207556,D,6,5.0,3,1593881,2014.0
207561,H,6,5.0,1,1593884,2014.0
207566,E,3,5.0,3,1593887,2014.0
207571,B,6,5.0,3,1593891,2014.0
207576,B,-,5.0,3,1593893,2014.0
207581,A,6,5.0,1,1593899,2014.0
207586,E,3,4.0,1,1593903,2014.0
207592,H,6,5.0,1,1593905,2014.0
207597,E,3,5.0,1,1593907,2014.0
207602,J,6,5.0, ,1593912,2014.0
207607,8,9,5.0,1,1593916,2014.0
207610,3,0,4.0,1,1593922,2014.0
207614,B,1,5.0,1,1593924,2014.0
207619,E,3,5.0, ,1593942,2014.0
207624,C,5,4.0,1,1593944,2014.0
207629,E,3,5.0, ,1593945,2014.0
207634,C,5,5.0, ,1593946,2014.0
207639,F,6,5.0,1,1593948,2014.0
207644,H,6,5.0,3,1593950,2014.0
207649,E,3,5.0, ,1593952,2014.0
207654,E,3,5.0, ,1593953,2014.0
207659,D,6,4.0,3,1593954,2014.0
207666,B,1,5.0,1,1593955,2014.0
207671,A,6,5.0,1,1593957,2014.0
